,distracting minus focus increasing,own choice minus focus increasing,background noise minus focus increasing,own choice minus distracting,background noise minus distracting,background noise minus own choice
0,-0.32261178711145755,-0.19701004484386875,-0.38693532509489437,0.1256017422675888,-0.06432353798343682,-0.18992528025102562
1,0.23550311833027515,0.34990967367117765,1.926400326773051,0.1144065553409025,1.6908972084427758,1.5764906531018732
2,0.06545065709193998,0.4446892832725182,-0.4059790142148162,0.37923862618057824,-0.47142967130675617,-0.8506682974873344
3,0.40634348668163744,0.4886725586995465,-0.03556596704602988,0.08232907201790907,-0.4419094537276673,-0.5242385257455764
4,-0.10472583519521605,0.4510150358201148,0.6287452588001983,0.5557408710153309,0.7334710939954143,0.17773022298008345
5,-0.08573339290604776,-0.1492351330364765,-0.10383650027827018,-0.06350174013042875,-0.018103107372222427,0.045398632758206325
6,-0.05456221155727736,0.0795281438404839,-0.6743881477064928,0.13409035539776126,-0.6198259361492153,-0.7539162915469766
7,-0.04261858977609623,0.22668357886370782,-0.49195554645510203,0.26930216863980405,-0.4493369566790058,-0.7186391253188098
8,-0.014724893161280339,0.060191185813317394,-1.1794752772446384,0.07491607897459773,-1.1647503840833582,-1.239666463057956
9,-0.014294722703162233,0.14511911241618203,-0.22606253622504163,0.15941383511934426,-0.2117678135218794,-0.37118164864122366
10,-0.017987463986627983,0.10518081634539289,-0.574506857061387,0.12316828033202087,-0.5565193930747591,-0.6796876734067799
11,0.04702953464847337,0.4608925941416505,-0.2120996871171324,0.41386305949317714,-0.25912922176560577,-0.672992281258783
12,-0.04750214902920069,-0.2777172305702076,-0.5090353064093917,-0.2302150815410069,-0.46153315738019096,-0.23131807583918407
13,-0.14846267031892035,-0.2254466137910318,-0.697576669262725,-0.07698394347211146,-0.5491139989438046,-0.4721300554716932
14,0.007355883271973229,0.27528067115514665,-0.005202007169333167,0.2679247878831734,-0.012557890441306396,-0.2804826783244798
15,-0.05798582952459019,-0.10928454706195834,-0.38916164072765425,-0.051298717537368144,-0.33117581120306405,-0.2798770936656959
16,-0.1751237298221966,-0.10918833152723817,-0.43720513891167645,0.06593539829495842,-0.26208140908947986,-0.3280168073844383
17,0.09857583429841987,-0.21759106328993627,-0.6515122633740977,-0.31616689758835614,-0.7500880976725176,-0.43392120008416146
18,0.32434751205247225,-0.7846938474368661,-0.35726268364878777,-1.1090413594893382,-0.68161019570126,0.4274311637880783
19,,,,,,
20,,,,,,
