,task 2-task 1,task 3-task 1,task 4-task 1,task 3-task 2,task 4-task 2,task 4-task 3
0,0.5302441059301132,0.08261197733484227,0.07551877513633809,-0.4476321285952709,-0.4547253307937751,-0.007093202198504178
1,0.06814008420040463,0.09077640435808731,-0.23159701084367418,0.022636320157682688,-0.2997370950440788,-0.3223734152017615
2,0.1885218432542587,0.09853881606024828,-0.1464753992912099,-0.08998302719401041,-0.3349972425454686,-0.24501421535145818
3,-0.0840897504947874,-0.008872593874718282,-0.45605101051074093,0.07521715662006911,-0.37196126001595353,-0.44717841663602265
4,0.13489725995473795,0.08859290411834847,-0.20529838216741422,-0.04630435583638948,-0.34019564212215214,-0.29389128628576267
5,-0.11685826049818104,-0.15654774159342066,-0.26902020751916716,-0.03968948109523962,-0.15216194702098612,-0.1124724659257465
6,0.059240131615822644,0.0576481957733731,-0.30027113125846844,-0.0015919358424495433,-0.3595112628742911,-0.35791932703184154
7,0.26355357445710054,0.08026878472903937,-0.17385267046127295,-0.18328478972806117,-0.4374062449183735,-0.2541214551903123
8,0.068304601670506,-0.13168150366296588,-0.17365236799027145,-0.1999861053334719,-0.24195696966077745,-0.04197086432730557
9,-0.014177760213930246,-0.22073433260797576,-0.3437350844001887,-0.2065565723940455,-0.32955732418625844,-0.12300075179221293
10,0.07872456020568896,-0.15428823773239903,-0.20968211233088313,-0.233012797938088,-0.2884066725365721,-0.055393874598484105
11,-0.09414277201012206,-0.35200780033439794,-0.10710377482283101,-0.2578650283242759,-0.012961002812708955,0.24490402551156693
12,0.014265091497318971,-0.18278166659720868,-0.13219546263597337,-0.19704675809452765,-0.14646055413329234,0.05058620396123531
13,,,,,,
