,distracting minus focus increasing,own choice minus focus increasing,background noise minus focus increasing,own choice minus distracting,background noise minus distracting,background noise minus own choice
0,0.3859605682839073,0.6720169483894248,0.8254586737512282,0.2860563801055175,0.4394981054673208,0.15344172536180334
1,-2.6949970903801144,-1.7712622322596285,-2.2095003569779514,0.9237348581204858,0.4854967334021628,-0.43823812471832296
2,-0.1033435273168874,1.5099558779648146,0.04212740894946102,1.613299405281702,0.14547093626634844,-1.4678284690153536
3,1.542816193626523,2.1319206637243764,2.0169942984765674,0.5891044700978536,0.47417810485004475,-0.1149263652478088
4,-2.146662641890914,-0.06312412411637736,-1.6947628161530794,2.0835385177745365,0.4518998257378345,-1.631638692036702
5,-0.08828676309647487,0.7551425724390695,0.4552999613784303,0.8434293355355443,0.5435867244749052,-0.29984261106063914
6,0.6672669508775944,61.98468881299387,0.9160517060288305,61.31742186211628,0.24878475515123608,-61.06863710696504
7,-1.6269177131609815,-0.8084282124806372,-1.2668795568937576,0.8184895006803443,0.3600381562672239,-0.45845134441312035
8,1.9605398211729548,2.844039950497697,1.7643707121261234,0.8835001293247423,-0.1961691090468316,-1.079669238371574
9,-0.23344693033590955,0.7610010144137613,0.28348361023116775,0.9944479447496709,0.5169305405670772,-0.47751740418259364
10,-0.1910615503591841,3.643686811002403,0.4622197342599432,3.8347483613615876,0.6532812846191274,-3.18146707674246
11,18.294591401774408,19.004714317176088,18.753032820549553,0.7101229154016805,0.45844141877514477,-0.2516814966265357
12,-0.8836624931402015,-0.47404292579170615,-0.607321712660556,0.4096195673484953,0.27634078047964544,-0.13327878686884986
13,,,,,,
