,task 2-task 1,task 3-task 1,task 4-task 1,task 3-task 2,task 4-task 2,task 4-task 3
0,0.5352059654910104,32.054106880763385,-0.863565985840824,31.518900915272372,-1.3987719513318344,-32.91767286660421
1,-22.78681264598673,3.232766292357392,-1.758740548501505,26.01957893834412,21.028072097485225,-4.9915068408588965
2,-20.30645814322636,-133.7665323520872,-16.949264996669793,-113.46007420886085,3.3571931465565683,116.81726735541741
3,1.457148320440616,5.135653445519124,-2.3740967828070882,3.6785051250785084,-3.8312451032477037,-7.5097502283262125
4,1.7213529221159907,1.2874962046043898,-0.6874918684419032,-0.4338567175116006,-2.408844790557894,-1.9749880730462932
5,1.1311050767666453,4.113660456562092,1.4120841411955407,2.9825553797954463,0.2809790644288954,-2.701576315366551
6,1.5714256829389566,-9.514651331159433,3.3913544442611325,-11.08607701409839,1.8199287613221762,12.906005775420565
7,-0.7948057255140494,-1.8902301966434998,-1.2278997796923996,-1.0954244711294505,-0.43309405417835023,0.6623304169511002
8,1.0017573951473078,1.9223190302139737,0.7055162977428572,0.9205616350666658,-0.2962410974044507,-1.2168027324711166
9,-0.21168756110038267,4.557489972132452,-2.694952736441114,4.769177533232835,-2.4832651753407315,-7.252442708573566
10,-1.1594463758257152,-0.35884761700869916,-6.419857013530011,0.800598758817016,-5.260410637704296,-6.061009396521312
11,-2.3577360916118963,-2.590146846168406,-1.5205745787923275,-0.2324107545565095,0.8371615128195689,1.0695722673760784
12,-0.09280792109691105,1.375991074792803,-0.9409285274654504,1.4687989958897143,-0.8481206063685394,-2.3169196022582534
13,,,,,,
