,focus,distr,own,office
0,20.70173974875128,-3.1187846408701123,1.9728766176045949,-19.50002239541525
1,-4.037290051217852,-59.629400171903804,-1.7511334773953005,3.1556312888721165
2,22.752072575598802,-3.1843258451523235,2.184212296398241,0.36137704944604676
3,-30.578743917508522,-23.93709233326923,-4.515011436787488,-2.6079232810013915
4,-26.872287442105954,6.91525138486592,-20.612847421343744,-8.460637787664032
5,-4.304915570226669,-1.7686244156334343,-1.9155306747280583,-2.0710534361698634
6,-4.359534274784989,-5.748902506557532,-1.3921446420260248,-1.70593640069236
7,-1.3559637268244336,-0.7593991615698348,-3.8862853344000725,-3.875458098814553
8,-3.2142256661599933,-6.520675881847742,-1.0533953158906249,-4.233321112333719
9,-1.2431966340275915,14.736780238907059,0.15521331993095752,-3.1757791780007816
10,,,,
