,distr-focus,own-focus,office-focus,own-distr,office-distr,office-own
0,-0.08711369075303166,0.05538284842125529,-2.083502642265143,0.14249653917428695,-1.9963889515121114,-2.1388854906863983
1,0.19608751732938656,0.45625017466219453,-0.41240658700273525,0.26016265733280797,-0.6084941043321218,-0.8686567616649298
2,-0.11681079346519241,0.11939511602458674,-0.09491850776956923,0.23620590948977915,0.02189228569562318,-0.21431362379415597
3,-0.07260531912000989,0.14209546807469664,-0.7070160221310345,0.21470078719470653,-0.6344107030110246,-0.8491114902057312
4,-0.049413027485908145,0.0786055623514158,-0.7808824711131735,0.12801858983732395,-0.7314694436272654,-0.8594880334645894
5,-0.07212399243279555,0.19155339721015696,-0.6095020997601854,0.2636773896429525,-0.5373781073273898,-0.8010554969703423
6,-0.11630017278924432,-0.1852564293155755,-0.7244620558198077,-0.0689562565263312,-0.6081618830305634,-0.5392056265042322
7,-0.07697502008025414,0.03519604440043067,-0.41880434775120845,0.11217106448068481,-0.3418293276709543,-0.4540003921516391
8,-0.0828475181887447,-0.1922834918630345,-0.6857170977253413,-0.10943597367428981,-0.6028695795365966,-0.4934336058623068
9,0.15677201000458252,-0.04986221211423325,-0.5812268821524164,-0.20663422211881577,-0.7379988921569989,-0.5313646700381831
10,,,,,,
