p_id,programming_task,music_cond,interval_30,interval_31,interval_32,interval_33,interval_34,interval_35
P05,2,3,0.8717034193825484,0.6958008266298639,0.8904286168315362,0.8134316155230565,0.9833841058007323,1.0315407647055275
P06,3,1,1.4110440476028878,0.41306620413525186,1.0258042602329012,0.8436626802079584,0.9351726814886172,0.7570278082720469
P02,4,2,2.378671649716241,0.23087620974736364,0.4289028940620932,0.37975416488864217,0.4586278479432968,0.9254819620235541
P12,1,3,0.09536696005360903,0.3461870510184016,0.23081114844915773,-0.11049231134640418,0.004811582557258044,0.303599658574198
P03,3,2,-0.06995782873535171,-0.6700425649334191,-3.8819421161770693,-0.1327151840316793,-0.10299342761694147,0.024726057917224643
P07,4,4,0.5725140722160841,0.015820838498235904,0.7869712680655863,,0.009509394771565717,0.3135003396394415
P04,2,2,0.3941602150739356,-0.9863829583665825,-3.366544316588357,-2.12362971197495,0.31178135919507693,-0.5213595159086919
P07,3,3,-0.6671257794528571,-0.10456519418436737,1.0424872555186804,-3.9453321965042814,0.30555227449776834,0.3152324518343948
P03,4,3,-1.3186483087513796,-1.3673088456226665,-6.480449654712554,-2.137994832908042,2.013067241909959,4.17440125580643
P01,2,1,0.5358256703705002,0.7510313618449088,0.4806737922531963,0.4998398973921645,0.4845440618848524,0.4847588628996193
P02,3,1,0.7186240806719058,0.36188888457293383,0.6447910910027931,0.4390103291700766,0.4857915158338211,0.25456020808169205
P13,1,1,0.27858360008727456,0.4282590873210354,-0.04748522063410891,-2.5376132942269494,0.0763714592680113,0.18770791339018136
P07,2,1,0.3969749828107561,-0.0570075332866415,-0.1828096438919226,-0.1700668638691128,0.12211872675174634,0.37300305767255965
P15,1,1,0.7079247305830623,0.6937208200834366,0.819435276650518,0.675232314436647,0.7479424939533237,0.6398365739055978
P04,3,4,-0.6870740444524932,44.10748256759028,1.3571831343853744,1.5520506657154127,3.2297736831520343,-63.90645481539715
P02,2,4,0.2609462963573263,0.874318927303681,0.3428176189956479,0.578036186324279,0.560994256718466,0.17048147229501226
P01,3,2,0.3744145851145613,0.2705554609657943,0.42352238457398556,0.35460604611762153,0.2650596970854616,0.07588199400072543
P10,1,1,-15.65392039155725,-0.006586032636294503,-0.09560083125215496,0.14851985876310722,-0.008394666015298929,-0.9906613418679292
P05,4,1,0.8257765541658363,1.4475054109817431,1.6318261315210454,0.1222113745705687,-0.7811280124321156,1.095884312627707
P06,2,4,4.667897136072051,0.4820616234350441,-0.4402946314636119,0.9509975464343506,28.2024302156311,0.38021366580703003
P05,3,2,0.7624841297468503,0.4978666591263457,0.5646399104678465,0.5250387122439035,0.6875484590317028,0.7430726540481322
P14,1,1,0.6151645819357848,0.6707217263188486,0.6870472206592375,0.9128693283043355,0.7642551118005847,0.863102875108308
P08,1,4,-16.846299424070615,5.874648722649805,3.229493345518191,-0.40097414653523167,3.222595357094426,-4.718621901587295
P01,4,4,0.07197408863953797,0.26413956346933554,0.5661971547500152,0.5896731631278148,0.33806493200195564,0.502521718608739
P03,2,1,-1.18644331326873,-1.393768053395179,0.10537429822998103,-0.00033751163973661625,-0.35824736296419596,-2.278247083531258
P11,1,3,0.46307795556579007,0.6032848714582165,0.7219089065247699,0.4856694753635058,0.6528506311285353,0.6570012031200184
P04,4,1,0.3677932883170023,0.31691219428736045,-36.73628708549547,-0.02591801016807842,0.3202739533027731,1.0788145829295313
P11,4,2,0.6734184297054204,0.6560395841495134,0.5576939894355489,-0.27688499088024393,0.46117680307107756,0.2843434978928171
P15,3,4,0.4110719545744544,0.45919765756629943,0.3321539035073052,0.4233698524135621,0.3934852220324713,0.3802499577107307
P04,1,3,1.2413191718372147,0.20517982722412798,-0.4951874028283516,1.153782576711551,0.6054117339206847,-3.9981184406761963
P14,4,4,0.3742211892618164,0.1333418375375086,0.3647446733428922,0.36076159779732814,-0.1509011218579176,0.4752345820186149
