p_id,programming_task,music_cond,interval_30,interval_31,interval_32,interval_33,interval_34,interval_35
P05,2,3,0.9032989626258077,0.525549910989572,0.5772710595561301,0.484175897903678,0.3599555814682021,0.2566685031641109
P06,3,1,0.24074920855792484,0.14513819345665196,0.11444800032900093,-3.1336365407468136,0.18180367834655944,0.2292570998957304
P02,4,2,0.3507004470761414,5.799213708062352,0.9314437944819975,1.2043141475199817,-0.3956313470499151,-0.01629982963827371
P12,1,3,1.3974824966365105,1.8091985220487017,0.934147852083703,3.69681722678095,1.8363618450451178,0.9571201471065719
P03,3,2,-69.57142414889837,-1.3463615805218674,-0.45624695694583717,-4.6701258960944285,-5.52852603443878,3.16250268590729
P07,4,4,0.7908011879777967,34.3930150658211,6.282431465954441,,2.3235195204951276,0.9625434622504855
P04,2,2,0.8245175206431501,-1.0092678404200504,-0.46829399172853287,-0.704326598197544,1.0046567054548803,-1.698853755786385
P07,3,3,-1.153998230961563,-2.0890130366447694,0.5775008704477487,-0.6179001408793249,2.846925439797581,2.4782090028086525
P03,4,3,-0.8313707531092862,-0.7509831710329761,-0.5241289652496625,-0.658502017489186,-0.08549011000802481,-0.1476025294810944
P01,2,1,0.5459990968535186,0.6714606648058093,0.872427974067745,0.7128968662509206,0.7920582556305207,0.8824183840520124
P02,3,1,0.4879897218975141,1.1517476433025462,0.5188554554880669,1.4776455884678612,0.9150986596925185,1.6373187732834713
P13,1,1,0.46785517171522634,0.33009154613764796,0.6404348970394129,-0.425569912974074,1.5955321120152575,0.7136240136092872
P07,2,1,1.0786324318728437,31.242995060373158,-5.39162468640487,-5.141008072052341,1.7522630620242006,1.5223897844070469
P15,1,1,0.5272305506793841,0.4787712563248116,0.25735560516650785,0.36923348247905957,0.3030310742916449,0.4194103639704848
P04,3,4,-1.2075515953469214,-0.4038623670067357,-4.211703066112414,-0.025018498104512097,-0.2285102293784225,-0.27258996223252163
P02,2,4,1.9786418651149649,0.5848861622475171,1.0167242127972502,0.5854537344845486,0.6355396145067306,1.073955306031023
P01,3,2,0.9846376792489634,1.2907843326515784,0.8006922383208696,1.1195289841657468,1.5026982606087071,3.157510389304483
P10,1,1,-0.50847812044896,-2.422823488255368,-2.867019551593489,-2.0584429352518723,-1.3276508624349868,-1.0015108479994836
P05,4,1,-0.10029911953804874,0.20918423563921815,0.7052032624967834,2.5498225902553604,-0.556618482367541,0.1883905100953015
P06,2,4,-0.6510145530868171,3.148577474850141,-1.146210953891861,-0.46935732184786655,-1.5024902133396867,5.216490765851225
P05,3,2,0.7660935740307073,0.8772896493840634,0.7060756874453309,0.7177816062423026,0.47214810849479977,0.4497191926073079
